id,category,prompt,expected_answer,evaluation_type,generated_response,generated_tokens,generated_token_ids,output_token_count,generation_time_seconds,is_evaluable,is_correct,evaluation_notes,token_entropy,mean_token_entropy,logits_shape,hidden_states_shape,L,D,C,E,V,candidate_metric_01,path_efficiency,curvature_density,entropy_per_step,trajectory_compression,trajectory_expansion,hidden_state_dispersion,hidden_state_radius,trajectory_self_similarity,trajectory_loop_score
facts_001,simple_facts,What is the capital city of France?,Paris,contains,,['</s>'],[2],1,0.5049183999981324,True,False,Did not match expected answer.,[0.5270816683769226],0.5270816683769226,"[1, 32000]","[1, 2048]",0.0,0.0,0.0,0.5270816683769226,0,0.0,0.0,0.0,0.5270816683769226,0.0,0.0,0.0,0.0,0.0,0
facts_002,simple_facts,Who wrote the play Romeo and Juliet?,Shakespeare,contains,,['</s>'],[2],1,0.6582723000028636,True,False,Did not match expected answer.,[0.8894215822219849],0.8894215822219849,"[1, 32000]","[1, 2048]",0.0,0.0,0.0,0.8894215822219849,0,0.0,0.0,0.0,0.8894215822219849,0.0,0.0,0.0,0.0,0.0,0
facts_003,simple_facts,What planet is known as the Red Planet?,Mars,contains,,['</s>'],[2],1,0.5681086000004143,True,False,Did not match expected answer.,[0.7606245875358582],0.7606245875358582,"[1, 32000]","[1, 2048]",0.0,0.0,0.0,0.7606245875358582,0,0.0,0.0,0.0,0.7606245875358582,0.0,0.0,0.0,0.0,0.0,0
facts_004,simple_facts,What gas do plants absorb from the atmosphere during photosynthesis?,carbon dioxide,contains,,['</s>'],[2],1,0.4586584999997285,True,False,Did not match expected answer.,[0.5141617059707642],0.5141617059707642,"[1, 32000]","[1, 2048]",0.0,0.0,0.0,0.5141617059707642,0,0.0,0.0,0.0,0.5141617059707642,0.0,0.0,0.0,0.0,0.0,0
facts_005,simple_facts,What is the largest ocean on Earth?,Pacific,contains,,['</s>'],[2],1,0.4770879999996396,True,False,Did not match expected answer.,[0.2862038016319275],0.2862038016319275,"[1, 32000]","[1, 2048]",0.0,0.0,0.0,0.2862038016319275,0,0.0,0.0,0.0,0.2862038016319275,0.0,0.0,0.0,0.0,0.0,0
facts_006,simple_facts,Who painted the Mona Lisa?,Leonardo da Vinci,contains,"17. If you have to give an interview, can you please paraphrase the text material given in the given passage?","['<0x0A>', '1', '7', '.', '▁If', '▁you', '▁have', '▁to', '▁give', '▁an', '▁interview', ',', '▁can', '▁you', '▁please', '▁par', 'ap', 'hr', 'ase', '▁the', '▁text', '▁material', '▁given', '▁in', '▁the', '▁given', '▁passage', '?', '</s>']","[13, 29896, 29955, 29889, 960, 366, 505, 304, 2367, 385, 15593, 29892, 508, 366, 3113, 610, 481, 1092, 559, 278, 1426, 5518, 2183, 297, 278, 2183, 13382, 29973, 2]",29,6.112553099999786,True,False,Did not match expected answer.,"[1.1167991161346436, 2.8183398246765137, 2.34592604637146, 0.5149848461151123, 1.9440608024597168, 0.4806663990020752, 1.7257206439971924, 2.1072700023651123, 1.963762879371643, 1.0387696027755737, 2.3682310581207275, 1.4563422203063965, 1.4658308029174805, 0.007806184235960245, 2.6787567138671875, 2.511423349380493, 9.81088523985818e-05, 1.2101559150323737e-05, 8.572435763198882e-05, 0.4792023301124573, 2.7550625801086426, 0.06592202186584473, 2.138354539871216, 1.9758954048156738, 0.5720487833023071, 2.4020049571990967, 0.4824899435043335, 1.0221904516220093, 0.7416483163833618]",1.3510243892669678,"[29, 32000]","[29, 2048]",2325.43798828125,63.86817169189453,36.40996644618794,1.3510243892669678,27,26.9498957498044,0.027465007458272416,0.011610715975254158,0.04658704790575751,2.202350747996363,80.18751683728448,71.5723925064005,93.036139704665,-0.017901233318726957,0
facts_007,simple_facts,What is the chemical symbol for gold?,Au,contains,,['</s>'],[2],1,0.4076220999995712,True,False,Did not match expected answer.,[0.6227003335952759],0.6227003335952759,"[1, 32000]","[1, 2048]",0.0,0.0,0.0,0.6227003335952759,0,0.0,0.0,0.0,0.6227003335952759,0.0,0.0,0.0,0.0,0.0,0
facts_008,simple_facts,How many continents are commonly recognized on Earth?,7,contains,,['</s>'],[2],1,0.5351282000010542,True,False,Did not match expected answer.,[0.19993440806865692],0.1999344080686569,"[1, 32000]","[1, 2048]",0.0,0.0,0.0,0.1999344080686569,0,0.0,0.0,0.0,0.1999344080686569,0.0,0.0,0.0,0.0,0.0,0
facts_009,simple_facts,What is the tallest mountain above sea level?,Everest,contains,,['</s>'],[2],1,0.547848400001385,True,False,Did not match expected answer.,[0.31329163908958435],0.3132916390895843,"[1, 32000]","[1, 2048]",0.0,0.0,0.0,0.3132916390895843,0,0.0,0.0,0.0,0.3132916390895843,0.0,0.0,0.0,0.0,0.0,0
facts_010,simple_facts,Which country is famous for the ancient city of Machu Picchu?,Peru,contains,"a. Peru b. Ecuador c. Bolivia d. Chile How many flights depart from Miami, Florida to Machu Picchu each week? a. 2 b. 4 c. 3 d. 1","['▁a', '.', '▁Peru', '▁b', '.', '▁E', 'cuador', '▁c', '.', '▁Boliv', 'ia', '▁d', '.', '▁Chile', '▁How', '▁many', '▁fl', 'ights', '▁depart', '▁from', '▁Miami', ',', '▁Florida', '▁to', '▁Mach', 'u', '▁Pic', 'ch', 'u', '▁each', '▁week', '?', '▁a', '.', '▁', '2', '▁b', '.', '▁', '4', '▁c', '.', '▁', '3', '▁d', '.', '▁', '1']","[263, 29889, 25493, 289, 29889, 382, 26719, 274, 29889, 25765, 423, 270, 29889, 13430, 1128, 1784, 1652, 5861, 5840, 515, 23740, 29892, 13813, 304, 17197, 29884, 14612, 305, 29884, 1269, 4723, 29973, 263, 29889, 29871, 29906, 289, 29889, 29871, 29946, 274, 29889, 29871, 29941, 270, 29889, 29871, 29896]",48,9.942207699998107,True,True,Matched expected answer.,"[1.1272640228271484, 0.6925951242446899, 1.1369385719299316, 0.049620095640420914, 1.4737044693902135e-05, 2.1781792640686035, 0.0016486598178744316, 0.009764389134943485, 4.222372081130743e-05, 1.0853321552276611, 2.4925286652432987e-06, 0.002106392988935113, 2.7820631657959893e-05, 1.191460132598877, 1.6536258459091187, 1.5166988372802734, 2.0384631156921387, 0.019320577383041382, 1.600463628768921, 0.6625401377677917, 1.1787182092666626, 0.8653668165206909, 0.4191368818283081, 0.37827423214912415, 1.6925036907196045, 0.0017348987748846412, 9.163800859823823e-05, 0.0014147614128887653, 1.098383199860109e-05, 1.9338465929031372, 0.571627676486969, 0.14879053831100464, 0.14138881862163544, 3.825833118753508e-05, 0.5292346477508545, 1.2773414850234985, 0.7362094521522522, 1.3168801160645671e-05, 0.00043091457337141037, 1.0320171117782593, 0.0010911899153143167, 2.0928342564729974e-05, 0.025945385918021202, 1.3554166555404663, 0.004728812258690596, 4.293733218219131e-05, 0.192253977060318, 1.0254576206207275]",0.5933178663253784,"[48, 32000]","[48, 2048]",4406.3017578125,104.54127502441406,42.14891923580876,0.5933178663253784,46,71.0393561833078,0.02372540074883872,0.010439593683850787,0.012360788881778717,2.177943229675293,91.79795328776042,72.06663492105066,91.42821570105289,-0.022885445617043632,8
