prompt_id,category,prompt,models,highest_risk_model,highest_risk_score,lowest_risk_model,lowest_risk_score,models_agree_on_status,models_agree_on_correctness,has_status_disagreement,has_correctness_disagreement,has_incorrect,max_status,gpt2_generated_response,gpt2_correctness,gpt2_trajectory_risk_score,gpt2_status_label,gpt2_risk_reason,gpt2_recommended_action,gpt2_trajectory_loop_score,gpt2_L,gpt2_entropy_per_step,distilgpt2_generated_response,distilgpt2_correctness,distilgpt2_trajectory_risk_score,distilgpt2_status_label,distilgpt2_risk_reason,distilgpt2_recommended_action,distilgpt2_trajectory_loop_score,distilgpt2_L,distilgpt2_entropy_per_step,tinyllama_generated_response,tinyllama_correctness,tinyllama_trajectory_risk_score,tinyllama_status_label,tinyllama_risk_reason,tinyllama_recommended_action,tinyllama_trajectory_loop_score,tinyllama_L,tinyllama_entropy_per_step
facts_001,simple_facts,What is the capital city of France?,"gpt2, distilgpt2, tinyllama",gpt2,0.46389930457881173,tinyllama,0.08961087613183061,no,yes,True,False,True,unstable,"It's the capital.

DAMASCUS: The capital of France.

TRUMP: It's capital.

DAMASCUS: The capital of France.

TRUMP: It's capital.

D",incorrect,0.46389930457881173,unstable,high loop score,run self-check or stronger model,38,9492.6962890625,0.0162481516599655,[empty generation],incorrect,0.2834356762413331,review,high entropy per step,check answer,0,0.0,1.6658575534820557,[empty generation],incorrect,0.08961087613183061,stable,mostly high entropy per step,keep answer,0,0.0,0.5270816683769226
facts_002,simple_facts,Who wrote the play Romeo and Juliet?,"gpt2, distilgpt2, tinyllama",gpt2,0.3238207530789904,distilgpt2,0.004829695078007042,no,no,True,True,True,review,"We are not sure. The answer depends on who you ask. Perhaps it is a composer or writer who wrote the play, such as Shakespeare, Shakespeare's friend and companion in Romeo and Juliet. Perhaps he played both characters in the play and",correct,0.3238207530789904,review,high loop score,check answer,31,4437.462890625,0.0335127711296081,[empty generation],incorrect,0.004829695078007042,stable,mostly long path length,keep answer,0,234.1817321777344,0.0048120248441894,[empty generation],incorrect,0.1512827663529954,stable,mostly high entropy per step,keep answer,0,0.0,0.8894215822219849
facts_003,simple_facts,What planet is known as the Red Planet?,"gpt2, distilgpt2, tinyllama",gpt2,0.25007174110036384,distilgpt2,0.10188256481322938,no,yes,True,False,True,review,"Well, it's called the Red Planet in the American tongue, and the planet is called the Red Planet because it has a hot, dry climate and cold, humid, and humid, and humid conditions. It's called the Red Planet because",incorrect,0.25007174110036384,review,mostly high loop score,check answer,24,3343.879638671875,0.0318343713879585,"The Sun is not a planet. It is a place in which stars have been orbiting the Sun for millions of years, and with the planet's gravity it is a place where starlike objects have been discovered. The Red Planet has a huge",incorrect,0.10188256481322938,stable,mostly high loop score,keep answer,8,1933.7412109375,0.035355361799399,[empty generation],incorrect,0.12936093601195472,stable,mostly high entropy per step,keep answer,0,0.0,0.7606245875358582
facts_004,simple_facts,What gas do plants absorb from the atmosphere during photosynthesis?,"gpt2, distilgpt2, tinyllama",gpt2,0.4081958992358184,distilgpt2,0.005969945693816702,no,no,True,True,True,unstable,"Yes, there is a way of storing carbon dioxide in the atmosphere and that is through the combustion of carbon dioxide.

There is also a way of storing hydrogen in the atmosphere and that is through the combustion of carbon dioxide.",correct,0.4081958992358184,unstable,high loop score,run self-check or stronger model,35,7561.09619140625,0.0248556857307752,[empty generation],incorrect,0.005969945693816702,stable,mostly long path length,keep answer,0,269.5199584960937,0.0078661504846352,[empty generation],incorrect,0.08741184016386687,stable,mostly high entropy per step,keep answer,0,0.0,0.5141617059707642
facts_005,simple_facts,What is the largest ocean on Earth?,"gpt2, distilgpt2, tinyllama",gpt2,0.2687012336362879,tinyllama,0.04861237503664651,no,yes,True,False,True,review,"What are the largest areas of the ocean? What are the largest oceans in the world?

This infographic is a tool to help make your search of ocean records. Use it to make your search of the sea as simple as possible.",incorrect,0.2687012336362879,review,mostly high loop score,check answer,24,4424.61376953125,0.0298091992735862,"This is my second foray into the ocean. I love the way I look at the ocean, with a certain amount of interest in the ocean, and of course I also like the way the water looks and how it looks.",incorrect,0.1877744620065508,stable,mostly high loop score,keep answer,19,2014.113037109375,0.0307110125819842,[empty generation],incorrect,0.04861237503664651,stable,mostly high entropy per step,keep answer,0,0.0,0.2862038016319275
facts_006,simple_facts,Who painted the Mona Lisa?,"gpt2, distilgpt2, tinyllama",gpt2,0.41991284124477457,tinyllama,0.04865566959447242,no,yes,True,False,True,unstable,The Mona Lisa is the symbol of the feminine spirit. It's a symbol of the feminine spirit. It's very powerful. It's the symbol of the feminine spirit. It's very powerful. It's the symbol of the,incorrect,0.41991284124477457,unstable,high loop score,run self-check or stronger model,37,7354.6708984375,0.0238993341724077,"""I can tell you that I did not want to be in the Mona Lisa. I was a wonderful woman who loved women.""
""I don't know if I am a woman or a woman but I",incorrect,0.15825981924523627,stable,mostly high loop score,keep answer,14,2497.577392578125,0.0351584926247596,"17. If you have to give an interview, can you please paraphrase the text material given in the given passage?",incorrect,0.04865566959447242,stable,mostly long path length,keep answer,0,2325.43798828125,0.0465870479057575
facts_007,simple_facts,What is the chemical symbol for gold?,"gpt2, distilgpt2, tinyllama",gpt2,0.23001076363969142,distilgpt2,0.004512851036556514,no,yes,True,False,True,review,The symbol Gold is the Greek word for gold (Grafhein). It is used as the coinage for gold pieces which are used to make the coins. In the early days of the 19th century gold coins were produced,incorrect,0.23001076363969142,review,mostly high loop score,check answer,21,3506.58056640625,0.0338221912582715,[empty generation],incorrect,0.004512851036556514,stable,mostly long path length,keep answer,0,236.00387573242188,0.0027625200649102,[empty generation],incorrect,0.10588560491305499,stable,mostly high entropy per step,keep answer,0,0.0,0.6227003335952759
facts_008,simple_facts,How many continents are commonly recognized on Earth?,"gpt2, distilgpt2, tinyllama",gpt2,0.3042994645451295,distilgpt2,0.004923491289048151,no,yes,True,False,True,review,"Or, in other words, should we be trying to measure the number of continents or the number of continents?

The numbers in the chart above are the actual total of Earth's continents and the total of the total of the continents of",incorrect,0.3042994645451295,review,high loop score,check answer,28,4665.6630859375,0.0319151058793067,[empty generation],incorrect,0.004923491289048151,stable,mostly long path length,keep answer,0,261.47430419921875,0.0025478497458,[empty generation],incorrect,0.03392893452681766,stable,mostly high entropy per step,keep answer,0,0.0,0.1999344080686569
facts_009,simple_facts,What is the tallest mountain above sea level?,"gpt2, distilgpt2, tinyllama",gpt2,0.3671921570469008,tinyllama,0.05322284734230506,no,yes,True,False,True,unstable,"The tallest mountain above sea level is named the Great Rift Valley. It is named after the explorer who was the first to cross the Rift Valley using his son's sword.

How many times have you been attacked by a dragon",incorrect,0.3671921570469008,unstable,high loop score,run self-check or stronger model,36,4723.634765625,0.0310890053709348,"The North Pole is the tallest mountain in the world.
Lifelong climbers, climbers, and climbers are looking for an easier way to climb the world's tallest mountain.
For those who are wondering what it is",incorrect,0.09898528731042948,stable,mostly high loop score,keep answer,7,2259.079833984375,0.0303188885251681,[empty generation],incorrect,0.05322284734230506,stable,mostly high entropy per step,keep answer,0,0.0,0.3132916390895843
facts_010,simple_facts,Which country is famous for the ancient city of Machu Picchu?,"gpt2, distilgpt2, tinyllama",gpt2,0.21214222528523438,tinyllama,0.14137892808098523,yes,no,False,True,True,stable,"It's the birthplace of the famous explorer, photographer and explorer, Juan Francisco de Lago, who spent more than seven centuries exploring the world's tallest peaks.

This is it. I'm not saying that this is the best place",incorrect,0.21214222528523438,stable,mostly high loop score,keep answer,18,3758.50244140625,0.039487990240256,"The Great Pyramid of Sichuan is the oldest of the world's tallest buildings. It's the oldest of the world's tallest buildings, but it's also the oldest of the world's tallest buildings. It's the oldest",incorrect,0.18650029285936387,stable,mostly high loop score,keep answer,19,2024.4384765625,0.022159827252229,"a. Peru b. Ecuador c. Bolivia d. Chile How many flights depart from Miami, Florida to Machu Picchu each week? a. 2 b. 4 c. 3 d. 1",correct,0.14137892808098523,stable,mostly long path length,keep answer,8,4406.3017578125,0.0123607888817787
