id,category,prompt,expected_answer,evaluation_type,generated_response,generated_tokens,generated_token_ids,output_token_count,generation_time_seconds,is_evaluable,is_correct,evaluation_notes,token_entropy,mean_token_entropy,logits_shape,hidden_states_shape,L,D,C,E,V,candidate_metric_01,path_efficiency,curvature_density,entropy_per_step,trajectory_compression,trajectory_expansion,hidden_state_dispersion,hidden_state_radius,trajectory_self_similarity,trajectory_loop_score
facts_001,simple_facts,What is the capital city of France?,Paris,contains,"It's the capital.

DAMASCUS: The capital of France.

TRUMP: It's capital.

DAMASCUS: The capital of France.

TRUMP: It's capital.

D","['ĠIt', ""'s"", 'Ġthe', 'Ġcapital', '.', 'Ċ', 'Ċ', 'D', 'AM', 'ASC', 'US', ':', 'ĠThe', 'Ġcapital', 'Ġof', 'ĠFrance', '.', 'Ċ', 'Ċ', 'TRUMP', ':', 'ĠIt', ""'s"", 'Ġcapital', '.', 'Ċ', 'Ċ', 'D', 'AM', 'ASC', 'US', ':', 'ĠThe', 'Ġcapital', 'Ġof', 'ĠFrance', '.', 'Ċ', 'Ċ', 'TRUMP', ':', 'ĠIt', ""'s"", 'Ġcapital', '.', 'Ċ', 'Ċ', 'D']","[632, 338, 262, 3139, 13, 198, 198, 35, 2390, 42643, 2937, 25, 383, 3139, 286, 4881, 13, 198, 198, 42473, 25, 632, 338, 3139, 13, 198, 198, 35, 2390, 42643, 2937, 25, 383, 3139, 286, 4881, 13, 198, 198, 42473, 25, 632, 338, 3139, 13, 198, 198, 35]",48,1.6373760999995284,True,False,Did not match expected answer.,"[1.0016356706619263, 1.174537181854248, 2.4532034397125244, 0.6893801689147949, 0.38734006881713867, 2.1194517612457275, 0.0002620434097480029, 3.248962879180908, 3.1521687507629395, 0.45669639110565186, 0.000981282675638795, 0.4828341603279114, 2.8276758193969727, 0.10803419351577759, 1.504840612411499, 0.5451526641845703, 0.9159457683563232, 0.577019453048706, 1.6254447473329492e-05, 3.3135533332824707, 0.0009297279175370932, 2.67082142829895, 0.2692798674106598, 0.801861584186554, 1.2488601207733154, 0.8899276256561279, 3.7174890167079866e-05, 0.21770918369293213, 0.0017092220950871706, 4.887022441835143e-06, 0.00017834929167293012, 0.0007096403860487044, 1.8761682510375977, 0.03391046077013016, 0.3118317425251007, 0.3670806586742401, 0.6897361874580383, 0.1922556459903717, 2.3939181119203568e-05, 0.04761912301182747, 0.0008465783903375268, 1.61910080909729, 0.06373314559459686, 0.3709045648574829, 0.4565122425556183, 0.26765677332878113, 3.10861760226544e-05, 0.07660948485136032]",0.7799112796783447,"[48, 50257]","[48, 768]",9492.6962890625,369.4617309570313,25.693314066583284,0.7799112796783447,30,32.94389340949122,0.03892063115752747,0.003160324431169893,0.016248151659965515,7.697119394938152,197.7645060221354,167.89401614833398,425.8786969265552,-0.46357686418040595,38
facts_002,simple_facts,Who wrote the play Romeo and Juliet?,Shakespeare,contains,"We are not sure. The answer depends on who you ask. Perhaps it is a composer or writer who wrote the play, such as Shakespeare, Shakespeare's friend and companion in Romeo and Juliet. Perhaps he played both characters in the play and","['ĠWe', 'Ġare', 'Ġnot', 'Ġsure', '.', 'ĠThe', 'Ġanswer', 'Ġdepends', 'Ġon', 'Ġwho', 'Ġyou', 'Ġask', '.', 'ĠPerhaps', 'Ġit', 'Ġis', 'Ġa', 'Ġcomposer', 'Ġor', 'Ġwriter', 'Ġwho', 'Ġwrote', 'Ġthe', 'Ġplay', ',', 'Ġsuch', 'Ġas', 'ĠShakespeare', ',', 'ĠShakespeare', ""'s"", 'Ġfriend', 'Ġand', 'Ġcompanion', 'Ġin', 'ĠRomeo', 'Ġand', 'ĠJuliet', '.', 'ĠPerhaps', 'Ġhe', 'Ġplayed', 'Ġboth', 'Ġcharacters', 'Ġin', 'Ġthe', 'Ġplay', 'Ġand']","[775, 389, 407, 1654, 13, 383, 3280, 8338, 319, 508, 345, 1265, 13, 8673, 340, 318, 257, 26777, 393, 6260, 508, 2630, 262, 711, 11, 884, 355, 22197, 11, 22197, 338, 1545, 290, 15185, 287, 43989, 290, 38201, 13, 8673, 339, 2826, 1111, 3435, 287, 262, 711, 290]",48,1.538317200000165,True,True,Matched expected answer.,"[2.2872469425201416, 2.995173215866089, 2.5991897583007812, 2.3041183948516846, 1.7480844259262085, 2.4901726245880127, 2.31443452835083, 0.9241165518760681, 0.401294082403183, 2.177459716796875, 1.7833722829818726, 0.19018889963626862, 0.6630720496177673, 1.9296973943710327, 1.7663862705230713, 1.2641353607177734, 2.040248155593872, 2.7336950302124023, 1.8835335969924927, 1.3291378021240234, 1.557807207107544, 2.153975009918213, 1.1421310901641846, 0.31230297684669495, 1.7128610610961914, 1.5236443281173706, 0.01726974919438362, 2.9699923992156982, 1.1946240663528442, 2.152817964553833, 0.9814884066581726, 2.5356523990631104, 2.069844961166382, 3.063215494155884, 1.0149288177490234, 1.2791261672973633, 0.18062534928321838, 0.10942093282938004, 1.0088523626327515, 2.2452449798583984, 0.9252262115478516, 1.8673237562179565, 1.6024854183197021, 2.4555954933166504, 1.9701201915740967, 1.3665367364883423, 0.6573494672775269, 1.3182042837142944]",1.6086130142211914,"[48, 50257]","[48, 768]",4437.462890625,72.4050521850586,61.28664722571264,1.6086130142211914,38,38.09906216342811,0.01631676793016755,0.008563451895064264,0.033512771129608154,1.5084385871887207,92.4471435546875,66.8232701638505,258.0972208193438,-0.008637843227313514,31
facts_003,simple_facts,What planet is known as the Red Planet?,Mars,contains,"Well, it's called the Red Planet in the American tongue, and the planet is called the Red Planet because it has a hot, dry climate and cold, humid, and humid, and humid conditions. It's called the Red Planet because","['ĠWell', ',', 'Ġit', ""'s"", 'Ġcalled', 'Ġthe', 'ĠRed', 'ĠPlanet', 'Ġin', 'Ġthe', 'ĠAmerican', 'Ġtongue', ',', 'Ġand', 'Ġthe', 'Ġplanet', 'Ġis', 'Ġcalled', 'Ġthe', 'ĠRed', 'ĠPlanet', 'Ġbecause', 'Ġit', 'Ġhas', 'Ġa', 'Ġhot', ',', 'Ġdry', 'Ġclimate', 'Ġand', 'Ġcold', ',', 'Ġhumid', ',', 'Ġand', 'Ġhumid', ',', 'Ġand', 'Ġhumid', 'Ġconditions', '.', 'ĠIt', ""'s"", 'Ġcalled', 'Ġthe', 'ĠRed', 'ĠPlanet', 'Ġbecause']","[3894, 11, 340, 338, 1444, 262, 2297, 11397, 287, 262, 1605, 11880, 11, 290, 262, 5440, 318, 1444, 262, 2297, 11397, 780, 340, 468, 257, 3024, 11, 5894, 4258, 290, 4692, 11, 35441, 11, 290, 35441, 11, 290, 35441, 3403, 13, 632, 338, 1444, 262, 2297, 11397, 780]",48,1.6031246000020474,True,False,Did not match expected answer.,"[2.5178661346435547, 0.26055392622947693, 2.4656825065612793, 0.9466610550880432, 2.629154920578003, 1.3210546970367432, 0.9684512615203857, 0.0733376294374466, 1.3090291023254395, 1.9741168022155762, 3.149111747741699, 2.977020025253296, 0.9741203188896179, 1.9158202409744263, 1.628880500793457, 2.2939486503601074, 1.0031893253326416, 2.4117023944854736, 1.207104206085205, 0.561100959777832, 0.06863909959793091, 1.1826238632202148, 1.276275873184204, 1.0012681484222412, 1.6830089092254639, 2.7316734790802, 1.2218124866485596, 1.888763666152954, 1.571643352508545, 1.1481794118881226, 2.0856375694274902, 0.6407139301300049, 1.7910239696502686, 2.0350818634033203, 1.3156836032867432, 2.5269217491149902, 2.318960666656494, 2.0057907104492188, 2.9756112098693848, 1.944187879562378, 0.6460159420967102, 2.1883318424224854, 1.0000886917114258, 1.9896342754364014, 0.28428810834884644, 1.0403324365615845, 0.035980891436338425, 0.16030751168727875]",1.5280498266220093,"[48, 50257]","[48, 768]",3343.879638671875,50.6479721069336,66.02198468305714,1.5280498266220093,40,43.20669622993182,0.015146469843349388,0.011962153044446071,0.03183437138795853,1.0551660855611167,69.66415913899739,49.859107400529105,163.55834125816276,0.3162435424904567,24
facts_004,simple_facts,What gas do plants absorb from the atmosphere during photosynthesis?,carbon dioxide,contains,"Yes, there is a way of storing carbon dioxide in the atmosphere and that is through the combustion of carbon dioxide.

There is also a way of storing hydrogen in the atmosphere and that is through the combustion of carbon dioxide.","['Ċ', 'Ċ', 'Yes', ',', 'Ġthere', 'Ġis', 'Ġa', 'Ġway', 'Ġof', 'Ġstoring', 'Ġcarbon', 'Ġdioxide', 'Ġin', 'Ġthe', 'Ġatmosphere', 'Ġand', 'Ġthat', 'Ġis', 'Ġthrough', 'Ġthe', 'Ġcombustion', 'Ġof', 'Ġcarbon', 'Ġdioxide', '.', 'Ċ', 'Ċ', 'There', 'Ġis', 'Ġalso', 'Ġa', 'Ġway', 'Ġof', 'Ġstoring', 'Ġhydrogen', 'Ġin', 'Ġthe', 'Ġatmosphere', 'Ġand', 'Ġthat', 'Ġis', 'Ġthrough', 'Ġthe', 'Ġcombustion', 'Ġof', 'Ġcarbon', 'Ġdioxide', '.']","[198, 198, 5297, 11, 612, 318, 257, 835, 286, 23069, 6588, 17556, 287, 262, 8137, 290, 326, 318, 832, 262, 33607, 286, 6588, 17556, 13, 198, 198, 1858, 318, 635, 257, 835, 286, 23069, 17669, 287, 262, 8137, 290, 326, 318, 832, 262, 33607, 286, 6588, 17556, 13]",48,1.5421170000008717,True,True,Matched expected answer.,"[1.119917869567871, 0.000685990322381258, 2.993788719177246, 0.9150936007499695, 1.8982313871383667, 0.7458674311637878, 0.7671362161636353, 2.6043505668640137, 0.6285843849182129, 2.9187698364257812, 2.4319987297058105, 1.3714135885238647, 1.4820001125335693, 0.6631981730461121, 0.36622658371925354, 1.2978286743164062, 3.1192235946655273, 0.6679159998893738, 2.0712831020355225, 1.7698047161102295, 2.378533363342285, 0.12328097969293594, 2.756235361099243, 0.41891345381736755, 1.6760057210922241, 2.5036025047302246, 2.8062342607881874e-05, 2.8354380130767822, 0.7913521528244019, 1.4086833000183105, 0.7549340724945068, 0.964239239692688, 0.3875659704208374, 1.2713193893432617, 2.1897614002227783, 1.836472511291504, 0.05733225494623184, 0.25466111302375793, 1.4016542434692383, 0.1770329624414444, 0.02181990258395672, 0.46235695481300354, 0.4422716498374939, 1.3865175247192383, 0.0028519071638584137, 0.768006443977356, 0.005298241972923279, 0.1580187827348709]",1.1930729150772097,"[48, 50257]","[48, 768]",7561.09619140625,226.9128570556641,33.32158560566462,1.1930729150772097,36,27.929211353782367,0.030010576682461397,0.0047612143912302935,0.024855685730775203,4.727351188659669,157.52283732096353,107.37161522557648,440.3853469218284,-0.1496525623490841,35
facts_005,simple_facts,What is the largest ocean on Earth?,Pacific,contains,"What are the largest areas of the ocean? What are the largest oceans in the world?

This infographic is a tool to help make your search of ocean records. Use it to make your search of the sea as simple as possible.","['ĠWhat', 'Ġare', 'Ġthe', 'Ġlargest', 'Ġareas', 'Ġof', 'Ġthe', 'Ġocean', '?', 'ĠWhat', 'Ġare', 'Ġthe', 'Ġlargest', 'Ġoceans', 'Ġin', 'Ġthe', 'Ġworld', '?', 'Ċ', 'Ċ', 'This', 'Ġinfographic', 'Ġis', 'Ġa', 'Ġtool', 'Ġto', 'Ġhelp', 'Ġmake', 'Ġyour', 'Ġsearch', 'Ġof', 'Ġocean', 'Ġrecords', '.', 'ĠUse', 'Ġit', 'Ġto', 'Ġmake', 'Ġyour', 'Ġsearch', 'Ġof', 'Ġthe', 'Ġsea', 'Ġas', 'Ġsimple', 'Ġas', 'Ġpossible', '.']","[1867, 389, 262, 4387, 3006, 286, 262, 9151, 30, 1867, 389, 262, 4387, 23744, 287, 262, 995, 30, 198, 198, 1212, 48033, 318, 257, 2891, 284, 1037, 787, 534, 2989, 286, 9151, 4406, 13, 5765, 340, 284, 787, 534, 2989, 286, 262, 5417, 355, 2829, 355, 1744, 13]",48,1.7007257000004756,True,False,Did not match expected answer.,"[1.139412760734558, 1.1591076850891113, 0.3763514757156372, 2.4283409118652344, 2.5874080657958984, 0.7075457572937012, 1.8582192659378052, 1.5768471956253052, 1.3634529113769531, 2.0531857013702393, 0.9724120497703552, 0.03987354040145874, 1.4014619588851929, 2.6466779708862305, 1.2974610328674316, 0.27542081475257874, 0.22551266849040985, 0.07169082015752792, 1.9846477508544922, 0.00018417570390738547, 2.5615909099578857, 1.571064829826355, 2.4954986572265625, 2.6897811889648438, 3.107327699661255, 1.3567756414413452, 1.3149312734603882, 0.5693171620368958, 2.211416244506836, 2.315809726715088, 1.3772783279418945, 0.82298344373703, 1.8673521280288696, 1.9299956560134888, 2.117518663406372, 1.1220637559890747, 0.27190056443214417, 1.7668708562850952, 1.6917921304702759, 1.3478375673294067, 0.9289989471435547, 1.1697157621383667, 1.7648686170578003, 2.7410776615142822, 2.272703170776367, 0.23771856725215912, 0.2662178575992584, 0.6247734427452087]",1.4308415651321411,"[48, 50257]","[48, 768]",4424.61376953125,120.86389923095705,36.60823287751391,1.4308415651321411,37,25.58510583534318,0.027316259797239104,0.00836231181460158,0.029809199273586273,2.5179979006449384,92.17945353190105,69.91226898441847,441.8736170356254,0.16620235182568224,24
facts_006,simple_facts,Who painted the Mona Lisa?,Leonardo da Vinci,contains,The Mona Lisa is the symbol of the feminine spirit. It's a symbol of the feminine spirit. It's very powerful. It's the symbol of the feminine spirit. It's very powerful. It's the symbol of the,"['Ċ', 'Ċ', 'The', 'ĠMon', 'a', 'ĠLisa', 'Ġis', 'Ġthe', 'Ġsymbol', 'Ġof', 'Ġthe', 'Ġfeminine', 'Ġspirit', '.', 'ĠIt', ""'s"", 'Ġa', 'Ġsymbol', 'Ġof', 'Ġthe', 'Ġfeminine', 'Ġspirit', '.', 'ĠIt', ""'s"", 'Ġvery', 'Ġpowerful', '.', 'ĠIt', ""'s"", 'Ġthe', 'Ġsymbol', 'Ġof', 'Ġthe', 'Ġfeminine', 'Ġspirit', '.', 'ĠIt', ""'s"", 'Ġvery', 'Ġpowerful', '.', 'ĠIt', ""'s"", 'Ġthe', 'Ġsymbol', 'Ġof', 'Ġthe']","[198, 198, 464, 2892, 64, 15378, 318, 262, 6194, 286, 262, 23564, 4437, 13, 632, 338, 257, 6194, 286, 262, 23564, 4437, 13, 632, 338, 845, 3665, 13, 632, 338, 262, 6194, 286, 262, 23564, 4437, 13, 632, 338, 845, 3665, 13, 632, 338, 262, 6194, 286, 262]",48,1.5819629999969038,True,False,Did not match expected answer.,"[1.331228256225586, 0.000905018940102309, 3.003178119659424, 1.061630368232727, 0.0028669557068496943, 0.0025211083702743053, 1.407007098197937, 1.652173399925232, 2.8990800380706787, 0.30133485794067383, 1.505202054977417, 3.083875894546509, 2.755960464477539, 1.6316274404525757, 1.5420808792114258, 1.232438087463379, 1.7503111362457275, 1.5622674226760864, 0.3716279864311218, 2.4903318881988525, 1.4470616579055786, 1.1568875312805176, 1.8074589967727661, 1.615086555480957, 1.0180094242095947, 1.2390341758728027, 2.761565685272217, 1.4699403047561646, 1.6513878107070923, 1.2162631750106812, 2.07371187210083, 1.1353652477264404, 0.0855434238910675, 1.484398603439331, 0.5485578775405884, 0.1191571056842804, 0.5293641686439514, 1.2934575080871582, 0.3082030415534973, 0.4393618106842041, 0.0918574258685112, 0.13467836380004883, 0.9181166887283325, 0.0689423456788063, 0.8255715370178223, 0.005482239183038473, 0.0008677817531861365, 0.03108857199549675]",1.1471680402755735,"[48, 50257]","[48, 768]",7354.6708984375,519.7960815429688,14.149146481839203,1.1471680402755735,35,12.33397896827764,0.0706756411974055,0.00475888051053865,0.02389933417240778,10.829085032145182,153.2223103841146,115.7793720601292,429.4044955308905,-0.5040225361622495,37
facts_007,simple_facts,What is the chemical symbol for gold?,Au,contains,The symbol Gold is the Greek word for gold (Grafhein). It is used as the coinage for gold pieces which are used to make the coins. In the early days of the 19th century gold coins were produced,"['Ċ', 'Ċ', 'The', 'Ġsymbol', 'ĠGold', 'Ġis', 'Ġthe', 'ĠGreek', 'Ġword', 'Ġfor', 'Ġgold', 'Ġ(', 'G', 'raf', 'he', 'in', ').', 'ĠIt', 'Ġis', 'Ġused', 'Ġas', 'Ġthe', 'Ġcoin', 'age', 'Ġfor', 'Ġgold', 'Ġpieces', 'Ġwhich', 'Ġare', 'Ġused', 'Ġto', 'Ġmake', 'Ġthe', 'Ġcoins', '.', 'ĠIn', 'Ġthe', 'Ġearly', 'Ġdays', 'Ġof', 'Ġthe', 'Ġ19', 'th', 'Ġcentury', 'Ġgold', 'Ġcoins', 'Ġwere', 'Ġproduced']","[198, 198, 464, 6194, 3561, 318, 262, 8312, 1573, 329, 3869, 357, 38, 32188, 258, 259, 737, 632, 318, 973, 355, 262, 10752, 496, 329, 3869, 5207, 543, 389, 973, 284, 787, 262, 10796, 13, 554, 262, 1903, 1528, 286, 262, 678, 400, 4289, 3869, 10796, 547, 4635]",48,1.6022922000011022,True,False,Did not match expected answer.,"[1.0941317081451416, 0.0018495063995942473, 2.1275196075439453, 1.8650685548782349, 1.4656018018722534, 1.1676912307739258, 2.0379230976104736, 1.9009654521942139, 1.050482988357544, 0.1999795287847519, 1.1397030353546143, 1.0348398685455322, 3.1224348545074463, 2.719475507736206, 2.2074055671691895, 2.297952175140381, 1.4887335300445557, 1.760436773300171, 1.258430004119873, 2.060215950012207, 1.6290085315704346, 0.8992851376533508, 1.7017768621444702, 1.4561067819595337, 1.6010807752609253, 2.017025947570801, 2.334421157836914, 1.9644618034362793, 1.362642526626587, 3.3642117977142334, 1.669859528541565, 2.585892677307129, 2.316908359527588, 1.4120409488677979, 1.9527920484542847, 1.6933165788650513, 2.3478264808654785, 2.693215847015381, 1.6350420713424683, 0.9649117588996887, 0.9932876825332642, 2.4545905590057373, 0.004012817516922951, 0.1407974362373352, 1.0394171476364136, 0.8023564219474792, 0.2715965509414673, 2.617600917816162]",1.6234651803970337,"[48, 50257]","[48, 768]",3506.58056640625,41.94880676269531,83.59190253594102,1.6234651803970337,34,51.4898031354746,0.011962881208141445,0.009696055560715434,0.03382219125827154,0.873933474222819,73.0537618001302,59.112043212976516,304.8346216719936,-0.1683770668613329,21
facts_008,simple_facts,How many continents are commonly recognized on Earth?,7,contains,"Or, in other words, should we be trying to measure the number of continents or the number of continents?

The numbers in the chart above are the actual total of Earth's continents and the total of the total of the continents of","['ĠOr', ',', 'Ġin', 'Ġother', 'Ġwords', ',', 'Ġshould', 'Ġwe', 'Ġbe', 'Ġtrying', 'Ġto', 'Ġmeasure', 'Ġthe', 'Ġnumber', 'Ġof', 'Ġcontinents', 'Ġor', 'Ġthe', 'Ġnumber', 'Ġof', 'Ġcontinents', '?', 'Ċ', 'Ċ', 'The', 'Ġnumbers', 'Ġin', 'Ġthe', 'Ġchart', 'Ġabove', 'Ġare', 'Ġthe', 'Ġactual', 'Ġtotal', 'Ġof', 'ĠEarth', ""'s"", 'Ġcontinents', 'Ġand', 'Ġthe', 'Ġtotal', 'Ġof', 'Ġthe', 'Ġtotal', 'Ġof', 'Ġthe', 'Ġcontinents', 'Ġof']","[1471, 11, 287, 584, 2456, 11, 815, 356, 307, 2111, 284, 3953, 262, 1271, 286, 33431, 393, 262, 1271, 286, 33431, 30, 198, 198, 464, 3146, 287, 262, 8262, 2029, 389, 262, 4036, 2472, 286, 3668, 338, 33431, 290, 262, 2472, 286, 262, 2472, 286, 262, 33431, 286]",48,1.5026672999993025,True,False,Did not match expected answer.,"[1.7569950819015503, 2.32572603225708, 2.822307586669922, 1.6186436414718628, 0.006759317126125097, 0.12147212028503418, 1.9217900037765503, 0.8218342065811157, 3.097738265991211, 2.9740498065948486, 0.03282756358385086, 2.7159435749053955, 1.8269981145858765, 2.861205577850342, 0.03219171613454819, 1.6778182983398438, 2.193869113922119, 2.054183006286621, 1.0954817533493042, 0.006322326138615608, 1.3374593257904053, 2.220226526260376, 1.3283833265304565, 0.00041146896546706557, 2.8155009746551514, 1.7585150003433228, 2.091198444366455, 1.1093071699142456, 2.5745275020599365, 1.302772879600525, 0.9286377429962158, 2.235288619995117, 2.258216381072998, 0.8559754490852356, 1.6115115880966187, 1.2398967742919922, 0.20138299465179443, 0.9538191556930542, 1.6128990650177002, 1.0208461284637451, 1.6581385135650635, 0.7906518578529358, 1.5431491136550903, 2.133012533187866, 0.6441304087638855, 1.3514573574066162, 2.163386821746826, 1.8275418281555176]",1.531925082206726,"[48, 50257]","[48, 768]",4665.6630859375,64.68456268310547,72.12946787311424,1.531925082206726,32,47.08420059890416,0.013863959204012693,0.006858617823573526,0.03191510587930679,1.3475950558980305,97.20131429036458,67.99307798855888,278.1060505375388,-0.15438704506420597,28
facts_009,simple_facts,What is the tallest mountain above sea level?,Everest,contains,"The tallest mountain above sea level is named the Great Rift Valley. It is named after the explorer who was the first to cross the Rift Valley using his son's sword.

How many times have you been attacked by a dragon","['Ċ', 'Ċ', 'The', 'Ġtallest', 'Ġmountain', 'Ġabove', 'Ġsea', 'Ġlevel', 'Ġis', 'Ġnamed', 'Ġthe', 'ĠGreat', 'ĠRift', 'ĠValley', '.', 'ĠIt', 'Ġis', 'Ġnamed', 'Ġafter', 'Ġthe', 'Ġexplorer', 'Ġwho', 'Ġwas', 'Ġthe', 'Ġfirst', 'Ġto', 'Ġcross', 'Ġthe', 'ĠRift', 'ĠValley', 'Ġusing', 'Ġhis', 'Ġson', ""'s"", 'Ġsword', '.', 'Ċ', 'Ċ', 'How', 'Ġmany', 'Ġtimes', 'Ġhave', 'Ġyou', 'Ġbeen', 'Ġattacked', 'Ġby', 'Ġa', 'Ġdragon']","[198, 198, 464, 38760, 8598, 2029, 5417, 1241, 318, 3706, 262, 3878, 21222, 6916, 13, 632, 318, 3706, 706, 262, 39349, 508, 373, 262, 717, 284, 3272, 262, 21222, 6916, 1262, 465, 3367, 338, 8429, 13, 198, 198, 2437, 867, 1661, 423, 345, 587, 7384, 416, 257, 10441]",48,1.6439375000009022,True,False,Did not match expected answer.,"[1.018622875213623, 0.0011320059420540929, 1.7590887546539307, 0.7723076343536377, 0.2370837926864624, 1.2874670028686523, 0.007061747834086418, 0.0013011450646445155, 0.7166648507118225, 2.7973878383636475, 2.1416943073272705, 3.3485267162323, 2.2801334857940674, 1.488968849182129, 1.152478814125061, 1.6028167009353638, 0.9377179741859436, 2.030355930328369, 0.6363846659660339, 0.5572509765625, 3.3116495609283447, 2.383340358734131, 2.1602442264556885, 2.745096206665039, 0.2595747709274292, 0.45593827962875366, 2.1363630294799805, 0.8827241063117981, 1.8368091583251953, 0.48890241980552673, 1.2764455080032349, 1.3386775255203247, 3.2219889163970947, 1.0233027935028076, 3.275629997253418, 0.7612192630767822, 1.3262088298797607, 3.397226828383282e-05, 2.2420382499694824, 2.4138050079345703, 2.466609001159668, 1.4524800777435303, 0.16804218292236328, 2.136464834213257, 1.7829123735427856, 0.22533950209617615, 2.120887279510498, 2.9618911743164062]",1.4922722578048706,"[48, 50257]","[48, 768]",4723.634765625,48.79186248779297,96.8119379908235,1.4922722578048706,39,64.87551952030098,0.01032930463694247,0.00825635383239453,0.031089005370934803,1.0164971351623535,98.4090576171875,67.90829871049624,366.43593524841907,-0.34709203942700395,36
facts_010,simple_facts,Which country is famous for the ancient city of Machu Picchu?,Peru,contains,"It's the birthplace of the famous explorer, photographer and explorer, Juan Francisco de Lago, who spent more than seven centuries exploring the world's tallest peaks.

This is it. I'm not saying that this is the best place","['ĠIt', ""'s"", 'Ġthe', 'Ġbirthplace', 'Ġof', 'Ġthe', 'Ġfamous', 'Ġexplorer', ',', 'Ġphotographer', 'Ġand', 'Ġexplorer', ',', 'ĠJuan', 'ĠFrancisco', 'Ġde', 'ĠL', 'ago', ',', 'Ġwho', 'Ġspent', 'Ġmore', 'Ġthan', 'Ġseven', 'Ġcenturies', 'Ġexploring', 'Ġthe', 'Ġworld', ""'s"", 'Ġtallest', 'Ġpeaks', '.', 'Ċ', 'Ċ', 'This', 'Ġis', 'Ġit', '.', 'ĠI', ""'m"", 'Ġnot', 'Ġsaying', 'Ġthat', 'Ġthis', 'Ġis', 'Ġthe', 'Ġbest', 'Ġplace']","[632, 338, 262, 48145, 286, 262, 5863, 39349, 11, 16413, 290, 39349, 11, 16852, 6033, 390, 406, 3839, 11, 508, 3377, 517, 621, 3598, 10675, 13504, 262, 995, 338, 38760, 25740, 13, 198, 198, 1212, 318, 340, 13, 314, 1101, 407, 2282, 326, 428, 318, 262, 1266, 1295]",48,1.5098194999991392,True,False,Did not match expected answer.,"[2.5227370262145996, 1.3350610733032227, 2.6379776000976562, 2.9584600925445557, 0.02173788659274578, 0.805881917476654, 3.2064263820648193, 3.00460147857666, 1.6388895511627197, 2.4803614616394043, 0.7505361437797546, 2.852541923522949, 1.6420551538467407, 3.289896011352539, 1.2744801044464111, 2.9107635021209717, 2.651350975036621, 2.6579084396362305, 1.0140290260314941, 0.6933619379997253, 3.256354331970215, 3.2348897457122803, 0.013783263973891735, 3.3081247806549072, 1.4853143692016602, 2.136882781982422, 0.6172472238540649, 2.607259511947632, 0.6460949778556824, 1.4823037385940552, 1.5465261936187744, 1.183027744293213, 1.1450461149215698, 2.896931800933089e-05, 2.8632004261016846, 2.547062873840332, 1.762605905532837, 1.5179085731506348, 2.4538559913635254, 2.1694345474243164, 2.480757713317871, 2.1057581901550293, 1.9792616367340088, 2.6102473735809326, 0.8143107295036316, 1.5254833698272705, 2.20560622215271, 0.9328965544700623]",1.895423531532288,"[48, 50257]","[48, 768]",3758.50244140625,54.97697830200195,68.3650240062282,1.895423531532288,37,36.06846853429161,0.014627362668795347,0.009844346405733978,0.039487990240256,1.1453537146250408,78.30213419596355,68.43991206541146,278.92305086253316,0.08281134182278801,18
