id,category,prompt,expected_answer,evaluation_type,generated_response,generated_tokens,generated_token_ids,output_token_count,generation_time_seconds,is_evaluable,is_correct,evaluation_notes,token_entropy,mean_token_entropy,logits_shape,hidden_states_shape,L,D,C,E,V,candidate_metric_01,path_efficiency,curvature_density,entropy_per_step,trajectory_compression,trajectory_expansion,hidden_state_dispersion,hidden_state_radius,trajectory_self_similarity,trajectory_loop_score
facts_001,simple_facts,What is the capital city of France?,Paris,contains,,['<|endoftext|>'],[50256],1,0.1347018999986176,True,False,Did not match expected answer.,[1.6658575534820557],1.6658575534820557,"[1, 50257]","[1, 768]",0.0,0.0,0.0,1.6658575534820557,0,0.0,0.0,0.0,1.6658575534820557,0.0,0.0,0.0,0.0,0.0,0
facts_002,simple_facts,Who wrote the play Romeo and Juliet?,Shakespeare,contains,,"['Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ']","[198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198]",48,1.5811572999991768,True,False,Did not match expected answer.,"[2.110948085784912, 0.876318097114563, 1.6566431522369385, 1.2859772443771362, 1.2385015487670898, 0.9914059638977051, 0.6887045502662659, 0.46903860569000244, 0.3226041793823242, 0.23324427008628845, 0.17347508668899536, 0.1364232748746872, 0.10898832231760025, 0.09078793227672577, 0.07580940425395966, 0.06505761295557022, 0.05672575533390045, 0.04967639222741127, 0.043537430465221405, 0.03931678831577301, 0.0352763868868351, 0.031408242881298065, 0.028315605595707893, 0.02560044266283512, 0.023360516875982285, 0.02121487818658352, 0.01930655911564827, 0.017530636861920357, 0.016009898856282234, 0.01484869047999382, 0.013502737507224083, 0.012553233653306961, 0.011570033617317677, 0.010674189776182175, 0.00995463877916336, 0.009188588708639145, 0.008516299538314342, 0.00797761045396328, 0.007456670515239239, 0.006969534792006016, 0.0064935749396681786, 0.0061588287353515625, 0.005714889615774155, 0.005399891175329685, 0.005088930018246174, 0.004811628721654415, 0.00454093050211668, 0.00427810475230217]",0.2309771925210952,"[48, 50257]","[48, 768]",234.1817321777344,197.0200653076172,1.188618691259161,0.2309771925210952,1,5.1460435477871,0.8413126996519394,0.004270187903645023,0.004812024844189483,4.104584693908691,4.878786087036134,34.07689170028536,171.98496402974956,0.1616616113261914,0
facts_003,simple_facts,What planet is known as the Red Planet?,Mars,contains,"The Sun is not a planet. It is a place in which stars have been orbiting the Sun for millions of years, and with the planet's gravity it is a place where starlike objects have been discovered. The Red Planet has a huge","['ĠThe', 'ĠSun', 'Ġis', 'Ġnot', 'Ġa', 'Ġplanet', '.', 'ĠIt', 'Ġis', 'Ġa', 'Ġplace', 'Ġin', 'Ġwhich', 'Ġstars', 'Ġhave', 'Ġbeen', 'Ġorbiting', 'Ġthe', 'ĠSun', 'Ġfor', 'Ġmillions', 'Ġof', 'Ġyears', ',', 'Ġand', 'Ġwith', 'Ġthe', 'Ġplanet', ""'s"", 'Ġgravity', 'Ġit', 'Ġis', 'Ġa', 'Ġplace', 'Ġwhere', 'Ġstar', 'like', 'Ġobjects', 'Ġhave', 'Ġbeen', 'Ġdiscovered', '.', 'ĠThe', 'ĠRed', 'ĠPlanet', 'Ġhas', 'Ġa', 'Ġhuge']","[383, 3825, 318, 407, 257, 5440, 13, 632, 318, 257, 1295, 287, 543, 5788, 423, 587, 40462, 262, 3825, 329, 5242, 286, 812, 11, 290, 351, 262, 5440, 338, 13522, 340, 318, 257, 1295, 810, 3491, 2339, 5563, 423, 587, 5071, 13, 383, 2297, 11397, 468, 257, 3236]",48,1.353052699996624,True,False,Did not match expected answer.,"[2.1849727630615234, 2.139927864074707, 0.871799647808075, 1.669966697692871, 1.5601108074188232, 2.082211971282959, 2.0126991271972656, 1.745930790901184, 0.6280720233917236, 1.3001011610031128, 1.6527572870254517, 1.5859966278076172, 0.7762869000434875, 2.329893112182617, 1.5545072555541992, 1.694605827331543, 2.5571160316467285, 2.0001578330993652, 1.5839648246765137, 1.0430195331573486, 2.8667654991149902, 0.020216865465044975, 0.01622951216995716, 0.8617584109306335, 1.302620768547058, 2.6581249237060547, 2.395320415496826, 2.4694409370422363, 2.190316677093506, 3.43170428276062, 2.3243186473846436, 1.3483591079711914, 3.0667073726654053, 2.138479709625244, 1.3903943300247192, 1.8285856246948242, 2.1551222801208496, 2.559680700302124, 1.9020113945007324, 0.5668208599090576, 1.6839892864227295, 1.1255781650543213, 1.4266743659973145, 1.5585620403289795, 0.0011694870190694928, 0.5755262970924377, 1.2941786050796509, 3.326003313064575]",1.6970573663711548,"[48, 50257]","[48, 768]",1933.7412109375,36.2701416015625,53.3149617164493,1.6970573663711548,37,31.41612226724754,0.018756460997166376,0.01913389433432097,0.035355361799399056,0.7556279500325521,40.286275227864586,30.35434124445099,171.28541154516932,-0.13212217800582068,8
facts_004,simple_facts,What gas do plants absorb from the atmosphere during photosynthesis?,carbon dioxide,contains,,"['Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', '<|endoftext|>']","[198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 50256]",26,0.7753737000020919,True,False,Did not match expected answer.,"[1.5324259996414185, 0.04525599628686905, 0.1609560251235962, 0.22635039687156677, 0.5558832287788391, 0.6774186491966248, 0.47546881437301636, 0.30144593119621277, 0.21184450387954712, 0.16309095919132233, 0.13061602413654327, 0.11118786036968231, 0.09580840170383453, 0.08344975858926773, 0.07307639718055725, 0.06654094159603119, 0.060457661747932434, 0.05370274931192398, 0.04854607582092285, 0.04465694725513458, 0.04067617654800415, 0.0371517613530159, 0.03433315455913544, 0.031438738107681274, 0.02881811186671257, 0.02691655047237873]",0.2045199126005172,"[26, 50257]","[26, 768]",269.5199584960937,210.12969970703125,1.2826361950350953,0.2045199126005172,1,6.27144896908122,0.7796443012218585,0.003710300363579544,0.007866150484635277,8.08191152719351,10.366152249849758,48.92941612769634,159.57110729426182,0.6040274655019342,0
facts_005,simple_facts,What is the largest ocean on Earth?,Pacific,contains,"This is my second foray into the ocean. I love the way I look at the ocean, with a certain amount of interest in the ocean, and of course I also like the way the water looks and how it looks.","['Ċ', 'Ċ', 'Ċ', 'This', 'Ġis', 'Ġmy', 'Ġsecond', 'Ġforay', 'Ġinto', 'Ġthe', 'Ġocean', '.', 'ĠI', 'Ġlove', 'Ġthe', 'Ġway', 'ĠI', 'Ġlook', 'Ġat', 'Ġthe', 'Ġocean', ',', 'Ġwith', 'Ġa', 'Ġcertain', 'Ġamount', 'Ġof', 'Ġinterest', 'Ġin', 'Ġthe', 'Ġocean', ',', 'Ġand', 'Ġof', 'Ġcourse', 'ĠI', 'Ġalso', 'Ġlike', 'Ġthe', 'Ġway', 'Ġthe', 'Ġwater', 'Ġlooks', 'Ġand', 'Ġhow', 'Ġit', 'Ġlooks', '.']","[198, 198, 198, 1212, 318, 616, 1218, 47773, 656, 262, 9151, 13, 314, 1842, 262, 835, 314, 804, 379, 262, 9151, 11, 351, 257, 1728, 2033, 286, 1393, 287, 262, 9151, 11, 290, 286, 1781, 314, 635, 588, 262, 835, 262, 1660, 3073, 290, 703, 340, 3073, 13]",48,1.3044178999989526,True,False,Did not match expected answer.,"[1.9549200534820557, 0.1647951453924179, 0.46467748284339905, 0.4249832034111023, 1.451063871383667, 1.5691249370574951, 2.138310194015503, 2.8281939029693604, 0.06384950876235962, 1.3656846284866333, 1.003645896911621, 1.9230225086212158, 1.441673994064331, 2.6245458126068115, 1.6542460918426514, 2.0101535320281982, 1.8812322616577148, 3.19364333152771, 0.2720019817352295, 1.3522396087646484, 1.2402780055999756, 1.3144680261611938, 1.88791024684906, 1.907785177230835, 3.0819029808044434, 1.8824185132980347, 0.0007852684357203543, 3.1791796684265137, 1.367521047592163, 1.061416745185852, 1.8863084316253662, 0.8681980967521667, 1.3935505151748657, 1.7585538625717163, 0.09730274230241776, 1.6509336233139038, 2.07688045501709, 1.2988430261611938, 0.6288673281669617, 0.6615859866142273, 1.4682210683822632, 1.9667294025421143, 1.7754254341125488, 1.1818872690200806, 1.9902485609054565, 0.7471269369125366, 1.5460515022277832, 1.0557814836502075]",1.4741286039352417,"[48, 50257]","[48, 768]",2014.113037109375,44.14938354492188,45.620411326015926,1.4741286039352417,38,30.947375421812264,0.021920012795450854,0.01886686561273494,0.030711012581984203,0.9197788238525392,41.96068827311198,31.237674352428428,111.7728400445011,0.09655266209311619,19
facts_006,simple_facts,Who painted the Mona Lisa?,Leonardo da Vinci,contains,"""I can tell you that I did not want to be in the Mona Lisa. I was a wonderful woman who loved women.""
""I don't know if I am a woman or a woman but I","['Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', '""', 'I', 'Ġcan', 'Ġtell', 'Ġyou', 'Ġthat', 'ĠI', 'Ġdid', 'Ġnot', 'Ġwant', 'Ġto', 'Ġbe', 'Ġin', 'Ġthe', 'ĠMon', 'a', 'ĠLisa', '.', 'ĠI', 'Ġwas', 'Ġa', 'Ġwonderful', 'Ġwoman', 'Ġwho', 'Ġloved', 'Ġwomen', '.""', 'Ċ', '""', 'I', 'Ġdon', ""'t"", 'Ġknow', 'Ġif', 'ĠI', 'Ġam', 'Ġa', 'Ġwoman', 'Ġor', 'Ġa', 'Ġwoman', 'Ġbut', 'ĠI']","[198, 198, 198, 198, 198, 1, 40, 460, 1560, 345, 326, 314, 750, 407, 765, 284, 307, 287, 262, 2892, 64, 15378, 13, 314, 373, 257, 7932, 2415, 508, 6151, 1466, 526, 198, 1, 40, 836, 470, 760, 611, 314, 716, 257, 2415, 393, 257, 2415, 475, 314]",48,1.352770400000736,True,False,Did not match expected answer.,"[1.7964532375335693, 0.9854708909988403, 1.760369896888733, 1.084052324295044, 0.9825761914253235, 0.601904034614563, 2.4021220207214355, 2.9885287284851074, 1.0602829456329346, 0.14735017716884613, 1.8259459733963013, 2.0878822803497314, 2.9396779537200928, 1.6519767045974731, 3.1061336994171143, 0.5365272164344788, 2.207378387451172, 2.073923110961914, 1.5015619993209839, 2.5534422397613525, 0.0009423865703865886, 0.0048263962380588055, 2.3181674480438232, 1.057854175567627, 2.5395922660827637, 2.7923409938812256, 2.6465377807617188, 1.7585833072662354, 1.660003900527954, 1.8995283842086792, 2.5016977787017822, 1.4835647344589233, 0.2609904110431671, 1.1967171430587769, 1.6826722621917725, 3.249133586883545, 0.0004660275299102068, 1.7159652709960938, 1.9027602672576904, 1.6716043949127197, 2.8850419521331787, 2.4954402446746826, 2.595463752746582, 2.3483872413635254, 0.866108775138855, 0.9069139957427979, 1.841806173324585, 0.42849209904670715]",1.6876076459884644,"[48, 50257]","[48, 768]",2497.577392578125,35.25461959838867,70.84397508836766,1.6876076459884644,33,41.978937021746525,0.014115526390954829,0.013212803774595244,0.035158492624759674,0.7344712416330973,52.0328623453776,47.95215010425462,142.8140830604782,0.12534304854313447,14
facts_007,simple_facts,What is the chemical symbol for gold?,Au,contains,,"['Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ']","[198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198]",48,1.3326402999991842,True,False,Did not match expected answer.,"[1.3725241422653198, 0.23816367983818054, 0.5777770280838013, 0.503205418586731, 0.7109269499778748, 0.678918719291687, 0.4805028736591339, 0.33291134238243103, 0.23606404662132263, 0.1780243068933487, 0.13724014163017273, 0.11156416684389114, 0.09135042130947113, 0.07804899662733078, 0.06575378030538559, 0.05728091672062874, 0.05036597698926926, 0.04421650245785713, 0.03885570168495178, 0.03542499989271164, 0.031925126910209656, 0.028356507420539856, 0.025493653491139412, 0.023282647132873535, 0.021169858053326607, 0.019274886697530746, 0.017724795266985893, 0.016096971929073334, 0.014689313247799873, 0.01373069267719984, 0.0125159015879035, 0.011711811646819115, 0.010841498151421547, 0.01005213800817728, 0.00937151350080967, 0.008704649284482002, 0.008081883192062378, 0.007620838470757008, 0.007135587278753519, 0.0067175403237342834, 0.006256862543523312, 0.005942892283201218, 0.005535866133868694, 0.0052470918744802475, 0.004947068635374308, 0.0047048586420714855, 0.004407959990203381, 0.004185594152659178]",0.1326009631156921,"[48, 50257]","[48, 768]",236.00387573242188,191.6694183349609,1.231306891744108,0.1326009631156921,0,9.285806549306985,0.8121452147348343,0.0,0.002762520064910252,3.993112881978352,4.916747411092122,31.043836122388786,171.26796342440363,0.029309400318133262,0
facts_008,simple_facts,How many continents are commonly recognized on Earth?,7,contains,,"['Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ', 'Ċ']","[198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198]",48,1.279643099998793,True,False,Did not match expected answer.,"[1.9693818092346191, 0.11562742292881012, 0.3838115334510803, 0.48048534989356995, 0.8707579970359802, 0.7396730780601501, 0.39928022027015686, 0.21538345515727997, 0.1321081817150116, 0.08860065788030624, 0.06534448266029358, 0.05035046488046646, 0.04068319872021675, 0.03303509205579758, 0.02799818105995655, 0.024045515805482864, 0.020779045298695564, 0.018038565292954445, 0.016402699053287506, 0.014724806882441044, 0.01302659697830677, 0.011759115383028984, 0.010767939500510693, 0.00991547480225563, 0.009151741862297058, 0.008468834683299065, 0.007816153578460217, 0.0072455136105418205, 0.006883848458528519, 0.006368105299770832, 0.006048792041838169, 0.005691847763955593, 0.005355569534003735, 0.00509011372923851, 0.004803760908544064, 0.004536763299256563, 0.004351848736405373, 0.004125276580452919, 0.003939456772059202, 0.003726649796590209, 0.003591635962948203, 0.0034040450118482113, 0.0032555158250033855, 0.0031303297728300095, 0.0030044978484511375, 0.0028710952028632164, 0.002750455169007182, 0.002653080504387617]",0.1222967877984047,"[48, 50257]","[48, 768]",261.47430419921875,203.3485870361328,1.285842739358487,0.1222967877984047,0,10.514117030433242,0.7777000790150316,0.0,0.002547849745800098,4.236428896586101,5.447381337483724,30.964917785120704,184.59500711638,-0.06771204316789624,0
facts_009,simple_facts,What is the tallest mountain above sea level?,Everest,contains,"The North Pole is the tallest mountain in the world.
Lifelong climbers, climbers, and climbers are looking for an easier way to climb the world's tallest mountain.
For those who are wondering what it is","['Ċ', 'Ċ', 'Ċ', 'Ċ', 'The', 'ĠNorth', 'ĠPole', 'Ġis', 'Ġthe', 'Ġtallest', 'Ġmountain', 'Ġin', 'Ġthe', 'Ġworld', '.', 'Ċ', 'L', 'if', 'elong', 'Ġclimbers', ',', 'Ġclimbers', ',', 'Ġand', 'Ġclimbers', 'Ġare', 'Ġlooking', 'Ġfor', 'Ġan', 'Ġeasier', 'Ġway', 'Ġto', 'Ġclimb', 'Ġthe', 'Ġworld', ""'s"", 'Ġtallest', 'Ġmountain', '.', 'Ċ', 'For', 'Ġthose', 'Ġwho', 'Ġare', 'Ġwondering', 'Ġwhat', 'Ġit', 'Ġis']","[198, 198, 198, 198, 464, 2258, 29385, 318, 262, 38760, 8598, 287, 262, 995, 13, 198, 43, 361, 21537, 39311, 11, 39311, 11, 290, 39311, 389, 2045, 329, 281, 4577, 835, 284, 12080, 262, 995, 338, 38760, 8598, 13, 198, 1890, 883, 508, 389, 11263, 644, 340, 318]",48,1.326632399999653,True,False,Did not match expected answer.,"[1.5251119136810303, 0.2724957764148712, 0.609072744846344, 0.4864036440849304, 0.6439676284790039, 2.3423092365264893, 2.150209665298462, 0.8543382287025452, 1.9436874389648438, 1.8618597984313965, 0.6822513341903687, 1.3212469816207886, 0.23462490737438202, 0.15075653791427612, 1.1518473625183105, 1.3221410512924194, 1.8670604228973389, 2.8493080139160156, 1.1540418863296509, 3.224320411682129, 2.551434278488159, 1.868569254875183, 0.6766914129257202, 0.9239429831504822, 1.9756345748901367, 2.5292575359344482, 2.9047698974609375, 0.8207139372825623, 1.4324841499328613, 2.6000239849090576, 2.1011643409729004, 0.18397708237171173, 0.9939956068992615, 1.5046770572662354, 2.5349133014678955, 0.1603415459394455, 0.3582034111022949, 0.05922048166394234, 0.8145240545272827, 0.4644509553909302, 2.4627187252044678, 2.056478977203369, 1.443062663078308, 2.200888156890869, 2.14223313331604, 1.8894033432006836, 1.835790991783142, 1.7181042432785034]",1.4553066492080688,"[48, 50257]","[48, 768]",2259.079833984375,53.873905181884766,41.93272840269237,1.4553066492080688,34,28.81367196769892,0.023847720815986614,0.015050375594754285,0.030318888525168102,1.1223730246225994,47.06416320800781,38.48461073452237,101.25028241205922,-0.003873400586594108,7
facts_010,simple_facts,Which country is famous for the ancient city of Machu Picchu?,Peru,contains,"The Great Pyramid of Sichuan is the oldest of the world's tallest buildings. It's the oldest of the world's tallest buildings, but it's also the oldest of the world's tallest buildings. It's the oldest","['Ċ', 'Ċ', 'Ċ', 'The', 'ĠGreat', 'ĠPyramid', 'Ġof', 'ĠS', 'ich', 'uan', 'Ġis', 'Ġthe', 'Ġoldest', 'Ġof', 'Ġthe', 'Ġworld', ""'s"", 'Ġtallest', 'Ġbuildings', '.', 'ĠIt', ""'s"", 'Ġthe', 'Ġoldest', 'Ġof', 'Ġthe', 'Ġworld', ""'s"", 'Ġtallest', 'Ġbuildings', ',', 'Ġbut', 'Ġit', ""'s"", 'Ġalso', 'Ġthe', 'Ġoldest', 'Ġof', 'Ġthe', 'Ġworld', ""'s"", 'Ġtallest', 'Ġbuildings', '.', 'ĠIt', ""'s"", 'Ġthe', 'Ġoldest']","[198, 198, 198, 464, 3878, 41450, 286, 311, 488, 7258, 318, 262, 13325, 286, 262, 995, 338, 38760, 6832, 13, 632, 338, 262, 13325, 286, 262, 995, 338, 38760, 6832, 11, 475, 340, 338, 635, 262, 13325, 286, 262, 995, 338, 38760, 6832, 13, 632, 338, 262, 13325]",48,1.3621779999994033,True,False,Did not match expected answer.,"[1.4901418685913086, 0.14449602365493774, 0.5184939503669739, 0.49906736612319946, 3.1771645545959473, 1.327515959739685, 1.5475724935531616, 2.48506236076355, 0.20022526383399963, 3.4661504741961835e-06, 1.7096537351608276, 2.0528008937835693, 2.4694411754608154, 1.8506100177764893, 0.9010915756225586, 2.568704843521118, 1.2179229259490967, 1.7597477436065674, 1.850341796875, 1.2795206308364868, 1.5291868448257446, 1.4459381103515625, 2.1332879066467285, 1.578545331954956, 1.1446930170059204, 0.5961560606956482, 0.2700082063674927, 0.002547384472563863, 0.06900258362293243, 0.24075108766555786, 0.9907166361808777, 2.032907724380493, 1.5056418180465698, 1.0132291316986084, 1.3765159845352173, 0.785918116569519, 1.9042125940322876, 0.36985719203948975, 0.21511319279670715, 0.04837869107723236, 0.0004970342852175236, 0.14235655963420868, 0.26885607838630676, 0.7036370635032654, 1.092911720275879, 0.07584472745656967, 0.33079010248184204, 0.139163076877594]",1.0636717081069946,"[48, 50257]","[48, 768]",2024.4384765625,58.71123504638672,34.48127900840489,1.0636717081069946,39,32.41721928448286,0.029001244407327455,0.019264601246970006,0.022159827252229054,1.2231507301330566,42.175801595052086,38.14968153353408,89.8186687779004,0.3629291179080663,19
